Year,Minutes
1897,175.1666667
1898,162
1899,174.6333333
1900,159.7333333
1901,149.3833333
1902,163.2
1903,161.4833333
1904,158.0666667
1905,158.4166667
1906,165.75
1907,144.4
1908,145.7166667
1909,173.6
1910,148.8666667
1911,141.65
1912,141.3
1913,145.2333333
1914,145.2333333
1915,151.6833333
1916,147.2666667
1917,148.6166667
1918,149.8833333
1919,149.2166667
1920,149.5166667
1921,138.95
1922,138.1666667
1923,143.7833333
1924,149.6666667
1925,153
1926,145.6666667
1927,160.3666667
1928,157.1166667
1929,153.1333333
1930,154.8
1931,166.75
1932,153.6
1933,151.0166667
1934,152.8833333
1935,152.1166667
1936,153.6666667
1937,153.3333333
1938,155.5666667
1939,148.85
1940,148.4666667
1941,150.6333333
1942,146.85
1943,148.4166667
1944,151.8333333
1945,150.6666667
1946,149.45
1947,145.65
1948,151.0333333
1949,151.8333333
1950,152.65
1951,147.75
1952,151.8833333
1953,138.85
1954,140.65
1955,138.3666667
1956,134.2333333
1957,140.0833333
1958,145.9
1959,142.7
1960,140.9
1961,143.65
1962,143.8
1963,138.9666667
1964,139.9833333
1965,136.55
1966,137.1833333
1967,135.75
1968,142.2833333
1969,133.8166667
1970,130.5
1971,138.75
1972,135.65
1973,136.05
1974,133.65
1975,129.9166667
1976,140.3166667
1977,134.7666667
1978,130.2166667
1979,129.45
1980,132.1833333
1981,129.4333333
1982,128.8666667
1983,129
1984,130.5666667
1985,134.0833333
1986,127.85
1987,131.8333333
1988,128.7166667
1989,129.1
1990,128.3166667
1991,131.1
1992,128.2333333
1993,129.55
1994,127.25
1995,129.3666667
1996,129.25
1997,130.5666667
1998,127.5666667
1999,129.8666667
2000,129.7833333
2001,129.7166667
2002,129.0333333
2003,130.1833333
2004,130.6166667
2005,131.7333333
2006,127.2333333
2007,134.2166667
2008,127.75
2009,128.7
2010,125.8666667
2011,123.0333333
2012,132.6666667
2013,130.3666667
2014,128.6166667
2015,129.2833333
2016,132.7333333
